,wavelength,intensity
442,244.2,32073.683
443,244.3,31687.258
444,244.4,31330.0
445,244.5,31001.703
446,244.6,30704.239
447,244.7,30440.0
448,244.8,30212.099
449,244.9,30026.528
450,245.0,29890.0
451,245.1,29808.049
452,245.2,29781.501
453,245.3,29810.0
454,245.4,29893.481
455,245.5,30033.025
456,245.6,30230.0
457,245.7,30484.692
458,245.8,30793.065
459,245.9,31150.0
460,246.0,31551.084
461,246.1,31994.716
462,246.2,32480.0
463,246.3,33006.513
464,246.4,33575.722
465,246.5,34189.571
466,246.6,34850.0
467,246.7,35559.315
468,246.8,36321.274
469,246.9,37140.0
470,247.0,38019.69
471,247.1,38964.835
472,247.2,39980.0
473,247.3,41068.222
474,247.4,42226.424
475,247.5,43450.0
476,247.6,44733.348
477,247.7,46066.877
478,247.8,47440.0
479,247.9,48840.239
480,248.0,50247.55
481,248.1,51640.0
482,248.2,52994.956
483,248.3,54286.996
484,248.4,55490.0
485,248.5,56578.797
486,248.6,57532.013
487,248.7,58329.223
488,248.8,58950.0
489,248.9,59376.161
490,249.0,59598.487
491,249.1,59610.0
492,249.2,59406.32
493,249.3,58993.452
494,249.4,58380.0
495,249.5,57576.708
496,249.6,56602.89
497,249.7,55480.0
498,249.8,54231.292
499,249.9,52887.212
500,250.0,51480.0
501,250.1,50041.826
502,250.2,48604.56
503,250.3,47200.0
504,250.4,45859.182
505,250.5,44610.103
506,250.6,43480.0
507,250.7,42494.41
508,250.8,41672.066
509,250.9,41030.0
510,251.0,40583.178
511,251.1,40338.301
512,251.2,40300.0
513,251.3,40470.64
514,251.4,40843.508
515,251.5,41409.622
516,251.6,42160.0
517,251.7,43083.924
518,251.8,44163.725
519,251.9,45380.0
520,252.0,46712.099
521,252.1,48134.391
522,252.2,49620.0
523,252.3,51142.496
524,252.4,52677.23
525,252.5,54200.0
526,252.6,55686.436
527,252.7,57111.503
528,252.8,58450.0
529,252.9,59678.427
530,253.0,60780.09
531,253.1,61740.0
532,253.2,62543.931
533,253.3,63180.728
534,253.4,63640.0
535,253.5,63913.951
536,253.6,64005.155
537,253.7,63918.782
538,253.8,63660.0
539,253.9,63235.426
540,254.0,62657.472
541,254.1,61940.0
542,254.2,61098.016
543,254.3,60151.106
544,254.4,59120.0
545,254.5,58025.103
546,254.6,56885.513
547,254.7,55720.0
548,254.8,54547.126
549,254.9,53384.619
550,255.0,52250.0
551,255.1,51159.355
552,255.2,50123.046
553,255.3,49150.0
554,255.4,48248.045
555,255.5,47420.604
556,255.6,46670.0
557,255.7,45998.096
558,255.8,45404.909
559,255.9,44890.0
560,256.0,44453.647
561,256.1,44099.018
562,256.2,43830.0
563,256.3,43651.454
564,256.4,43572.127
565,256.5,43601.737
566,256.6,43750.0
